product_id,cost,category,product_name,retail_price,sku,distribution_center_id
P001,27.04799992,Sneakers,Nike Air Max 270,99.99,C4CA4,DC001
P002,52.35799987,Sneakers,Nike Air Force 1,90,E4DA3,DC002
P003,27.91799985,Sneakers,Nike Tanjun,65,45C48,DC002
P004,12.081981,Apparel,Nike Dri-FIT Tee,25,C9F0F,DC003
P005,16.62649992,Apparel,Nike Legend Tee,30,C81E7,DC003
P006,30.66549992,Activewear,Nike Pro Tights,35,D3D94,DC004
P007,20.93499997,Accessories,Nike Sportswear,40,8F14E,DC005
P008,48.86699984,Accessories,Nike Benassi,40,6512B,DC005
P009,8.935999662,Accessories,Nike Gym Sack,30,16790,DC006
P010,57.13199991,Sneakers,Nike Court Royale,115,A87FF,DC007
P011,41.00499986,Apparel,Nike Dri-FIT Shorts,55,ECCBC,DC008
P012,30.5,Sneakers,Vintage Nike Air Max 1,150,E5BB9,DC002
P013,50.55,Sneakers,Vintage Nike Dunk,170,99ZC8,DC004
P014,24.44,Apparel,Vintage Nike Windrunner Jacket,60,FFD00,DC006
P015,33.23,Sneakers,Vintage Nike Waffle Trainer,70,AO023,DC005
P016,66.2,Activewear,Vintage Nike Air Jordan Tracksuit,180,GP90L,DC001
